341,"Diljot Singh","F:/songs/artist/Diljot Singh/",India,6,0
342,"Amber Vashisht","F:/songs/artist/Amber Vashisht/",India,6,0
343,"Arjun Kanungo","F:/songs/artist/Arjun Kanungo/",India,4,0
344,"Shirley Setia","F:/songs/artist/Shirley Setia/",India,4,0
345,"K S Makhan","F:/songs/artist/K S Makhan/",India,6,0
346,"Husan Mandair","F:/songs/artist/Husan Mandair/",India,6,0
347,"Bir Singh","F:/songs/artist/Bir Singh/",India,6,0
348,"Sangeet Haldipur","F:/songs/artist/Sangeet Haldipur/",India,4,0
349,"Darshan Raval","F:/songs/artist/Darshan Raval/",India,4,0
350,"Tochi Raina","F:/songs/artist/Tochi Raina/",India,4,0
351,"Jaya Kishori Ji","F:/songs/artist/Jaya Kishori Ji/",India,23,0
352,"Annu Chaudhary","F:/songs/artist/Annu Chaudhary/",India,4,0
36,"AK Chaudhary","F:/songs/artist/AK Chaudhary/",India,4,0
354,"Sawan Kumar","F:/songs/artist/Sawan Kumar/",India,4,0
323,"Jasmeen Akhtar","F:/songs/artist/Jasmeen Akhtar/",India,6,0
356,"Chitra Vichitra Ji Maharaj","F:/songs/artist/Chitra Vichitra Ji Maharaj/",India,23,0
357,"Charan Raj","F:/songs/artist/Charan Raj/",India,5,0
358,Shenbhagaraj,F:/songs/artist/Shenbhagaraj/,India,5,0
359,"Priyanka Singh","F:/songs/artist/Priyanka Singh/",India,4,0
360,"Ramesh Thamilmani","F:/songs/artist/Ramesh Thamilmani/",India,5,0
361,"Adithya RK","F:/songs/artist/Adithya RK/",India,5,0
362,"Kamal Khan","F:/songs/artist/Kamal Khan/",India,6,0
363,"Jaggi Singh","F:/songs/artist/Jaggi Singh/",India,6,0
364,Badshah,F:/songs/artist/Badshah/,India,9,0
365,Velmurugan,F:/songs/artist/Velmurugan/,India,5,0
366,Roshini,F:/songs/artist/Roshini/,India,5,0
367,"Kanchan Nagar","F:/songs/artist/Kanchan Nagar/",India,4,0
368,"Akshay Shokeen","F:/songs/artist/Akshay Shokeen/",India,4,0
369,"Justin Prabhakaran","F:/songs/artist/Justin Prabhakaran/",India,5,0
370,"Kidakuzhi Mariyammal","F:/songs/artist/Kidakuzhi Mariyammal/",India,5,0
371,Akull,F:/songs/artist/Akull/,India,6,0
372,"Sanchit Balhara","F:/songs/artist/Sanchit Balhara/",India,4,0
373,"Ankit Balhara","F:/songs/artist/Ankit Balhara/",India,4,0
374,"Arvind Akela","F:/songs/artist/Arvind Akela/",India,4,0
375,"Priyanka Maurya","F:/songs/artist/Priyanka Maurya/",India,4,0
376,"Yadav Raj","F:/songs/artist/Yadav Raj/",India,4,0
377,"Armaan Bedil","F:/songs/artist/Armaan Bedil/",India,6,0
378,"Watan Sahi","F:/songs/artist/Watan Sahi/",India,6,0
379,"Nav Prince","F:/songs/artist/Nav Prince/",India,6,0
380,"Mannat Noor","F:/songs/artist/Mannat Noor/",India,6,0
381,"Amruta Fadnavis","F:/songs/artist/Amruta Fadnavis/",India,4,0
382,"Satya Kashyap","F:/songs/artist/Satya Kashyap/",India,4,0
383,King,F:/songs/artist/King/,India,4,0
384,"Premgi Amaren","F:/songs/artist/Premgi Amaren/",India,5,0
385,"Shreyas Puranik","F:/songs/artist/Shreyas Puranik/",India,4,0
386,"Manan Bhardwaj","F:/songs/artist/Manan Bhardwaj/",India,4,0
387,"Alka Jha","F:/songs/artist/Alka Jha/",India,4,0
388,"Arunraja Kamaraj","F:/songs/artist/Arunraja Kamaraj/",India,5,0
389,"Yo Yo Honey Singh","F:/songs/artist/Yo Yo Honey Singh/",India,6,0
390,"Masoom Sharma","F:/songs/artist/Masoom Sharma/",India,20,0
391,"Ashu Twinkle","F:/songs/artist/Ashu Twinkle/",India,20,0
392,"Bharath Sankar","F:/songs/artist/Bharath Sankar/",India,5,0
393,"Zehr Vibe","F:/songs/artist/Zehr Vibe/",India,6,0
394,"Sean Roldan","F:/songs/artist/Sean Roldan/",India,5,0
395,"Sathyaprakash D","F:/songs/artist/Sathyaprakash D/",India,5,0
396,"Rajnish Mishra","F:/songs/artist/Rajnish Mishra/",India,4,0
397,"G.V. Prakash Kumar","F:/songs/artist/G.V. Prakash Kumar/",India,5,0
398,"Tara Sutaria","F:/songs/artist/Tara Sutaria/",India,4,0
399,"Ankit Tiwari","F:/songs/artist/Ankit Tiwari/",India,4,0
400,"Annie Walia","F:/songs/artist/Annie Walia/",India,6,0
401,"Akshay Pandya","F:/songs/artist/Akshay Pandya/",India,4,0
402,"Simar Dorraha","F:/songs/artist/Simar Dorraha/",India,6,0
403,"Sann Sarwang","F:/songs/artist/Sann Sarwang/",India,9,0
404,"Tarsem Jassar","F:/songs/artist/Tarsem Jassar/",India,6,0
405,"Ash King","F:/songs/artist/Ash King/",India,4,0
406,"Shankar Mahadevan","F:/songs/artist/Shankar Mahadevan/",India,4,0
407,"Shashaa Tirupati","F:/songs/artist/Shashaa Tirupati/",India,4,0
408,"Tanishk S Nabar","F:/songs/artist/Tanishk S Nabar/",India,4,0
409,"Veet Baljit","F:/songs/artist/Veet Baljit/",India,6,0
410,"Shipra Goyal","F:/songs/artist/Shipra Goyal/",India,6,0
411,"Pav Dharia","F:/songs/artist/Pav Dharia/",United Kingdom,6,0
412,MixSingh,F:/songs/artist/MixSingh/,India,6,0
413,"Nithyashree Venkataramanan","F:/songs/artist/Nithyashree Venkataramanan/",India,5,0
414,"Vijay Sethupathi","F:/songs/artist/Vijay Sethupathi/",India,5,0
415,Amrish,F:/songs/artist/Amrish/,India,5,0
416,"Lavita M Lobo","F:/songs/artist/Lavita M Lobo/",India,5,0
417,"Shahzan Mujeeb","F:/songs/artist/Shahzan Mujeeb/",India,9,0
418,"Sant Kumar Foji","F:/songs/artist/Sant Kumar Foji/",India,20,0
419,"Jaya Kishori","F:/songs/artist/Jaya Kishori/",India,23,0
420,"Kamal Grewal","F:/songs/artist/Kamal Grewal/",India,6,0
421,"Angrej Ali","F:/songs/artist/Angrej Ali/",India,6,0
422,"Simiran Kaur Dhadli","F:/songs/artist/Simiran Kaur Dhadli/",India,6,0
423,"Jenny Johal","F:/songs/artist/Jenny Johal/",India,6,0
424,"Hardy Sandhu","F:/songs/artist/Hardy Sandhu/",India,6,0
425,"Karan Aujla","F:/songs/artist/Karan Aujla/",India,6,0
426,Jaymeet,F:/songs/artist/Jaymeet/,India,6,0
427,"Rony Ajnali","F:/songs/artist/Rony Ajnali/",India,6,0
428,"Arun Vijay","F:/songs/artist/Arun Vijay/",India,5,0
429,"Pavithra Shreedharan Nair","F:/songs/artist/Pavithra Shreedharan Nair/",India,5,0
430,"Shabir Tabare Alam","F:/songs/artist/Shabir Tabare Alam/",India,5,0
431,"Mohammad Faiz","F:/songs/artist/Mohammad Faiz/",India,4,0
432,"Vijay Varma","F:/songs/artist/Vijay Varma/",India,4,0
433,"Ricky Singh","F:/songs/artist/Ricky Singh/",India,4,0
434,"Ankit Vij","F:/songs/artist/Ankit Vij/",India,4,0
435,"Kapil Kapilan","F:/songs/artist/Kapil Kapilan/",India,5,0
436,Harnoor,F:/songs/artist/Harnoor/,India,6,0
